file,vertex,edge,color,iterations,durations, ,tabuTenure
..\GCP_instances\DSJC125.5.col,125,3891,17,624330,0.953, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,370738,0.584, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,945801,1.479, ,target+ rand() % 22 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,776304,1.199, ,target+ rand() % 22 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,990907,1.648, ,target+ rand() % 22 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,272493,0.418, ,target+ rand() % 18 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2174948,3.231, ,target+ rand() % 18 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,705594,1.086, ,target+ rand() % 18 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,67207,0.122, ,target+ rand() % 18 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,483007,1.471, ,target+ rand() % 18 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
